🚀 数据加载：15 只，2022-06-01 ~ 2026-08-27 ...
00:20:08 [INFO] core.data_loader.freestockdb: 🔗 已连接到 free-stockdb 本地服务: 127.0.0.1:7899
00:20:08 [INFO] core.data_loader.freestockdb: 📊 批量加载: 15 只股票，1031 个交易日
00:20:08 [INFO] core.data_loader.freestockdb: ✅ 成功加载 15 只股票，1031 个交易日
00:20:08 [INFO] core.data_loader.freestockdb: 📅 日期范围: 2022-06-01 00:00:00 至 2026-08-27 00:00:00
✅ 数据加载完成：1031 交易日，耗时 0.6s
🎯 模式: 标准 风控=0.3 止损=None
📈 趋势线过滤器已启用: multi（multi 阈值=2）
00:20:15 [INFO] core.backtest.pipeline: 开始回测: 2022-06-02 至 2026-08-27
00:20:15 [INFO] core.backtest.pipeline: 初始资金: 500,000.00 元
00:20:15 [INFO] core.backtest.pattern_mixin: 📚 形态信号索引预加载完成：106602 条 / 52852 个(股票×日期)组合

======================================================================
📊 完整交易汇总（共 2051 笔）
  策略：SimpleStrategy
======================================================================
日期           股票       操作           价格     数量            总资产      总仓位
2023-01-18   300293   BUY        8.92    100     506,858.00    90.0%
2023-01-19   002918   SELL      18.76    500     509,355.00    88.2%
2023-01-19   002281   BUY       16.65    500     509,355.00    89.8%
2023-01-30   600487   SELL      14.73    800     519,321.00    87.8%
2023-01-30   000566   BUY        4.35    100     519,321.00    87.8%
2023-01-30   002156   BUY       18.44    600     519,321.00    90.0%
2023-02-09   600702   SELL     181.41    100     563,286.00    87.5%
2023-02-09   002792   SELL      11.17   1300     563,286.00    85.0%
2023-02-09   002918   BUY       17.96    900     563,286.00    87.8%
2023-02-09   002428   BUY       11.15   1100     563,286.00    90.0%
2023-02-10   002281   SELL      22.04   1900     570,139.00    82.8%
2023-02-10   002792   SELL      11.29    700     570,139.00    81.4%
2023-02-10   000566   BUY        4.56   1700     570,139.00    82.8%
2023-02-10   002281   BUY       22.04    600     570,139.00    85.1%
2023-02-10   002309   BUY        5.28   2800     570,139.00    87.7%
2023-02-10   002792   BUY       11.29   1100     570,139.00    89.8%
2023-02-13   002281   SELL      23.04   1200     584,513.00    85.4%
2023-02-13   002735   SELL      19.98   1300     584,513.00    80.9%
2023-02-13   300502   SELL      12.19    700     584,513.00    79.5%
2023-02-13   600487   BUY       14.31   4000     584,513.00    89.2%
2023-02-13   600522   BUY       14.87    200     584,513.00    89.8%
2023-02-13   000566   BUY        4.62    300     584,513.00    90.0%
2023-02-14   002281   SELL      22.83    600     589,202.00    87.8%
2023-02-14   002309   SELL       5.21   2800     589,202.00    85.3%
2023-02-14   002918   BUY       18.94   1400     589,202.00    89.8%
2023-02-14   000566   BUY        4.65    200     589,202.00    89.9%
2023-02-15   002281   SELL      23.44    300     593,278.00    88.8%
2023-02-15   002792   SELL      13.47    900     593,278.00    86.8%
2023-02-15   300502   SELL      11.95    300     593,278.00    86.2%
2023-02-15   000566   BUY        4.65    200     593,278.00    86.3%
2023-02-15   002156   BUY       22.56    600     593,278.00    88.6%
2023-02-15   002309   BUY        5.26   1500     593,278.00    89.9%
2023-02-16   002309   SELL       5.22   1500     578,411.00    88.3%
