date,total_asset,cash,market_value,frozen_cash,daily_return,cum_return,max_drawdown
2025-08-05,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-08-06,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-08-07,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-08-08,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-08-11,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-08-12,480837.0,443283.0,37554.0,1206338.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-08-13,481871.0,443283.0,38588.0,1206338.0,0.002150416877237049,-0.03625800000000001,-0.038484000000000074
2025-08-14,481123.0,443283.0,37840.0,1206338.0,-0.0015522826648626253,-0.037753999999999954,-0.039980000000000016
2025-08-15,481552.0,481552.0,0.0,1206338.0,0.0008916638780520625,-0.03689600000000004,-0.0391220000000001
2025-08-18,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-08-19,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-08-20,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-08-21,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-08-22,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-08-25,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-08-26,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-08-27,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-08-28,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-08-29,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-09-01,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-09-02,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-09-03,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-09-04,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-09-05,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
